flight_id,tail_id,client_id,aircraft,route,departure,flight_hours,passengers,weather,env_factor,hours_since_install_seat,hours_since_install_lighting,hours_since_install_galley,hours_since_install_panel,hours_since_install_water_waste,cycles_since_install_seat,cycles_since_install_lighting,cycles_since_install_galley,cycles_since_install_panel,cycles_since_install_water_waste,latent_seat,latent_lighting,latent_galley,latent_panel,latent_water_waste
FL1000,TAIL1000,AL1,A321,medium,2025-01-04T00:00:00,2.81,159,clear,1.0,138.1,61.8,40.5,168.8,29.3,8,1,1,0,21,0,0,0,0,0
FL1001,TAIL1000,AL1,A321,long,2025-01-04T04:54:33.914037,10.24,217,hot,1.15,98.2,8.6,6.8,8.6,11.0,6,1,1,1,1,0,0,0,0,0
FL1002,TAIL1000,AL1,A321,short,2025-01-04T17:59:18.383736,1.89,132,rain,1.05,108.4,16.3,14.5,18.8,21.2,7,1,1,2,2,0,0,0,0,0
FL1003,TAIL1000,AL1,A321,short,2025-01-04T22:10:54.894621,1.72,145,rain,1.05,75.2,8.7,2.1,9.4,9.0,4,1,1,1,1,0,0,0,0,0
FL1004,TAIL1000,AL1,A321,short,2025-01-05T03:49:30.191895,1.33,119,rain,1.05,76.9,11.2,7.2,7.0,6.3,5,1,1,1,1,0,0,0,0,0
FL1005,TAIL1000,AL1,A321,medium,2025-01-05T06:32:12.120735,3.14,151,rain,1.05,9.8,2.6,6.4,8.5,8.3,1,1,1,1,1,0,0,0,0,0
FL1006,TAIL1000,AL1,A321,long,2025-01-05T11:41:15.818769,5.01,221,hot,1.15,13.0,5.7,9.5,11.7,11.4,2,2,2,2,2,0,0,0,0,0
FL1007,TAIL1000,AL1,A321,medium,2025-01-05T18:11:02.058166,4.85,152,hot,1.15,18.0,10.7,14.5,16.7,16.4,3,3,3,3,3,0,0,0,0,0
FL1008,TAIL1000,AL1,A321,short,2025-01-06T03:12:15.440022,1.09,145,windy,1.1,22.8,15.6,19.4,21.5,21.3,4,4,4,4,4,0,0,0,0,0
FL1009,TAIL1000,AL1,A321,short,2025-01-06T08:01:26.812502,1.85,142,clear,1.0,23.9,16.7,20.5,22.6,22.4,5,5,5,5,5,0,0,0,0,0
FL1010,TAIL1000,AL1,A321,medium,2025-01-06T11:25:25.973458,3.94,158,cold,1.05,25.8,18.5,22.3,24.5,24.2,6,6,6,6,6,0,0,0,0,0
FL1011,TAIL1000,AL1,A321,short,2025-01-06T16:50:16.615283,1.86,136,cold,1.05,29.7,8.6,12.0,10.3,6.3,7,1,1,1,1,0,0,0,0,0
FL1012,TAIL1000,AL1,A321,short,2025-01-06T21:33:33.430096,1.51,155,cold,1.05,31.6,10.4,13.9,12.1,8.1,8,2,2,2,2,0,0,0,0,0
FL1013,TAIL1000,AL1,A321,medium,2025-01-07T03:51:45.701354,2.18,155,windy,1.1,33.1,11.9,15.4,13.7,9.6,9,3,3,3,3,0,0,0,0,0
FL1014,TAIL1000,AL1,A321,medium,2025-01-07T09:05:46.859881,4.39,181,windy,1.1,35.3,14.1,17.6,15.8,11.8,10,4,4,4,4,0,0,0,0,0
FL1015,TAIL1000,AL1,A321,short,2025-01-07T16:13:34.694792,1.26,120,clear,1.0,39.6,18.5,22.0,20.2,16.2,11,5,5,5,5,0,0,0,0,0
FL1016,TAIL1000,AL1,A321,medium,2025-01-07T22:19:50.570748,4.14,139,clear,1.0,26.3,13.4,9.6,1.5,17.5,6,3,1,1,6,0,0,0,0,0
FL1017,TAIL1000,AL1,A321,medium,2025-01-08T06:11:24.703377,4.62,191,rain,1.05,30.4,17.5,13.7,5.7,21.6,7,4,2,2,7,0,0,0,0,0
FL1018,TAIL1000,AL1,A321,short,2025-01-08T15:28:49.163641,1.89,150,windy,1.1,35.1,22.2,18.3,10.3,26.2,8,5,3,3,8,0,0,0,0,0
FL1019,TAIL1001,AL3,A330,long,2025-01-03T11:00:00,9.79,229,rain,1.05,182.5,40.7,92.6,17.2,64.1,29,16,1,22,24,0,0,0,0,0
FL1020,TAIL1001,AL3,A330,long,2025-01-04T01:06:18.137466,5.85,217,cold,1.05,192.3,19.6,79.0,27.0,12.6,30,1,1,23,1,0,0,0,0,0
FL1021,TAIL1001,AL3,A330,short,2025-01-04T08:38:10.837437,1.88,156,cold,1.05,114.6,13.8,7.1,20.0,18.4,19,1,1,16,2,0,0,0,0,0
FL1022,TAIL1001,AL3,A330,medium,2025-01-04T12:55:58.108464,2.73,167,cold,1.05,116.5,8.8,7.0,8.5,20.3,20,1,1,1,3,0,0,0,0,0
FL1023,TAIL1001,AL3,A330,short,2025-01-04T17:35:34.754659,0.99,115,rain,1.05,6.9,10.0,6.5,11.3,10.3,1,1,1,2,1,0,0,0,0,0
FL1024,TAIL1001,AL3,A330,long,2025-01-04T20:31:42.611804,6.08,230,windy,1.1,7.9,11.0,7.5,12.3,11.3,2,2,2,3,2,0,0,0,0,0
FL1025,TAIL1001,AL3,A330,short,2025-01-05T05:27:21.357261,1.08,142,rain,1.05,14.0,17.1,13.5,18.3,17.4,3,3,3,4,3,0,0,0,0,0
FL1026,TAIL1001,AL3,A330,long,2025-01-05T10:48:53.735200,6.6,224,rain,1.05,15.1,18.2,14.6,19.4,18.5,4,4,4,5,4,0,0,0,0,0
FL1027,TAIL1001,AL3,A330,short,2025-01-05T21:47:41.238467,1.9,128,rain,1.05,21.7,24.8,21.2,26.0,25.1,5,5,5,6,5,0,0,0,0,0
