flight_id,tail_id,client_id,timestamp,report_text,target_component_code,target_component_name,target_issue,target_severity,target_location
FL3182,TAIL1126,AL1,2025-01-02T12:38:09.954339,Coffbe flow irregglar in FWD_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL3197,TAIL1126,AL1,2025-01-05T13:08:11.925540,Trolleh latch loose near FWD_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL5287,TAIL1246,AL1,2025-01-04T12:26:49.338922,Trolljy latch loose near MID_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL5173,TAIL1239,AL1,2025-01-06T17:56:03.743996,Oven in FWD_GALLEY shoys error E2,38-GALLEY,galley,malfunction,High,cabin_mid
FL5663,TAIL1267,AL1,2025-01-05T02:59:21.433267,Galtey equipment heat alarm in FWD_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL2652,TAIL1095,AL1,2025-01-01T17:27:37.769699,Trolley latch loose near FWD_GALLEY,38-GALLEY,galley,malfunction,High,cabin_mid
FL2187,TAIL1069,AL1,2025-01-02T20:14:59.798358,Galley ooen overheating during xervice,38-GALLEY,galley,malfunction,High,cabin_mid
FL5823,TAIL1276,AL1,2025-01-05T07:40:31.089659,Panel light flicker near R1,33-LIGHT,lighting,malfunction,Medium,door_area
FL6046,TAIL1287,AL1,2025-01-04T07:45:13.732428,Cabin light flickeritg near row 5,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL6126,TAIL1292,AL1,2025-01-02T23:00:00,Light panel near R1 unstable,33-LIGHT,lighting,malfunction,Medium,door_area
FL4915,TAIL1225,AL1,2025-01-06T20:07:59.702263,Panel light intermittent near L2,33-LIGHT,lighting,malfunction,Medium,door_area
FL4564,TAIL1205,AL1,2025-01-06T12:04:57.113210,Cabin light flickering near row 6,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL3755,TAIL1159,AL1,2025-01-07T07:37:28.210179,Light panel near L1 unstable,33-LIGHT,lighting,malfunction,Medium,door_area
FL5068,TAIL1233,AL1,2025-01-03T22:44:20.401514,Panel light intermittent near L1,33-LIGHT,lighting,malfunction,Medium,door_area
FL2594,TAIL1091,AL1,2025-01-07T09:33:52.493910,Moisture around sink area AFT_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_rear
FL3254,TAIL1130,AL1,2025-01-02T13:03:33.330970,Galley sink leak at tFT_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_mid
FL4954,TAIL1227,AL1,2025-01-04T10:02:35.069852,Galley sknk leak at AFc_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_mid
FL5817,TAIL1276,AL1,2025-01-03T04:07:05.833275,Galley siuk leak at FWD_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_mid
FL1722,TAIL1042,AL1,2025-01-04T15:40:06.774214,Moisture around sink arba AFT_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_rear
FL3026,TAIL1116,AL1,2025-01-05T07:31:31.383915,Moisture around sink area FWD_GALLEY,38-WATER,water_waste,malfunction,Low,cabin_mid
FL5417,TAIL1254,AL1,2025-01-02T10:43:54.179656,Small leak detected in MID_GALLEY sink,38-WATER,water_waste,malfunction,Low,cabin_mid
FL1385,TAIL1022,AL1,2025-01-03T13:32:59.724723,Beobachtung: Light panel near R2 unstable,33-LIGHT,lighting,malfunction,Medium,door_area
FL4660,TAIL1210,AL1,2025-01-08T03:38:45.848050,Beobachtung: Reading light in Reihe 28 intermittent,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL5166,TAIL1239,AL1,2025-01-04T23:36:01.487937,Beobachtung: Cabin light flickering near Reihe 3,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL6098,TAIL1290,AL1,2025-01-03T08:25:55.495783,Beobachtung: Panel light flicker near R1,33-LIGHT,lighting,malfunction,Medium,door_area
FL1510,TAIL1030,AL1,2025-01-04T22:16:18.474418,Beojachtung: Reading light blicker above seat 2A,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL2566,TAIL1090,AL1,2025-01-04T00:23:08.928762,Beobachtung: Readtng light flicker above seat 15C,33-LIGHT,lighting,malfunction,Medium,cabin_mid
FL5497,TAIL1258,AL1,2025-01-07T20:59:53.910495,Beobachtung: Panel light flicker near L1,33-LIGHT,lighting,malfunction,Medium,door_area
FL2370,TAIL1080,AL1,2025-01-04T00:32:49.462071,Galley sink leak at AFT_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_rear
FL3255,TAIL1130,AL1,2025-01-02T18:48:36.998740,Moisture around sink area FWD_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL1358,TAIL1021,AL1,2025-01-04T13:04:32.111417,Galley siwk leak at FWv_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL6135,TAIL1292,AL1,2025-01-04T22:53:16.411747,Galley sink oeak at FWD_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL2380,TAIL1080,AL1,2025-01-06T11:30:52.432238,Water boiler temp unstable at MID_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL2902,TAIL1109,AL1,2025-01-06T09:05:03.936231,Galley sink leak at AFT_GALLEY,38-WATER,water_waste,malfunction,Medium,cabin_rear
FL1293,TAIL1017,AL1,2025-01-06T11:37:39.912752,Hot xater inconsistent at FWD_GALiEY,38-WATER,water_waste,malfunction,Medium,cabin_mid
FL3409,TAIL1139,AL1,2025-01-03T21:00:00,Seat 27E jammed durina taxi,25-SEAT,seat,malfunction,Low,cabin_mid
FL6156,TAIL1293,AL1,2025-01-06T13:02:08.369171,Seat 17A recline not yorkina,25-SEAT,seat,malfunction,Low,cabin_mid
FL1330,TAIL1019,AL1,2025-01-06T15:39:21.216679,Seat 29D movement restricted,25-SEAT,seat,malfunction,Low,cabin_mid
FL3279,TAIL1130,AL1,2025-01-08T13:14:41.248909,Seat 9A hmrd to kdjust,25-SEAT,seat,malfunction,Low,cabin_mid
FL1436,TAIL1025,AL1,2025-01-05T05:30:40.503976,Seat 4E cover misaligned,25-SEAT,seat,malfunction,Low,cabin_mid
FL2567,TAIL1090,AL1,2025-01-04T07:08:54.981206,Passenger reports seat 20A recline sailure,25-SEAT,seat,malfunction,Low,cabin_mid
FL3500,TAIL1144,AL1,2025-01-05T15:23:05.203578,ueat 9A hard to adjust,25-SEAT,seat,malfunction,Low,cabin_mid
FL4967,TAIL1228,AL1,2025-01-04T17:09:29.884033,Reading legth in row 22 intermhttent,33-LIGHT,lighting,malfunction,Medium,cabin_mid
