flight_id,tail_id,client_id,actions
FL1000,TAIL1000,AL1,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1001,TAIL1000,AL1,partial_lighting;partial_galley
FL1002,TAIL1000,AL1,partial_seat;reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1010,TAIL1000,AL1,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1015,TAIL1000,AL1,partial_seat;partial_lighting;reset_galley;reset_panel
FL1019,TAIL1001,AL3,reset_lighting;partial_galley;reset_water_waste
FL1020,TAIL1001,AL3,partial_seat;reset_lighting;reset_galley;partial_panel
FL1021,TAIL1001,AL3,partial_lighting;partial_galley;reset_panel
FL1022,TAIL1001,AL3,reset_seat;reset_lighting;reset_galley;reset_water_waste
FL1027,TAIL1001,AL3,reset_seat;reset_lighting;reset_water_waste
FL1030,TAIL1001,AL3,partial_seat;partial_lighting;reset_galley;reset_panel
FL1034,TAIL1001,AL3,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1035,TAIL1002,AL1,reset_seat;reset_lighting;reset_water_waste
FL1036,TAIL1002,AL1,partial_seat;reset_water_waste
FL1037,TAIL1002,AL1,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1046,TAIL1002,AL1,partial_seat;partial_lighting;reset_galley;reset_water_waste
FL1055,TAIL1003,AL4,reset_seat;partial_lighting;partial_galley;partial_panel;reset_water_waste
FL1056,TAIL1003,AL4,partial_seat;partial_galley;reset_panel;partial_water_waste
FL1057,TAIL1003,AL4,partial_seat;latent_resolved_seat;partial_lighting;reset_galley;reset_water_waste
FL1058,TAIL1003,AL4,reset_seat;partial_galley;partial_panel;partial_water_waste
FL1059,TAIL1003,AL4,reset_lighting;partial_panel;partial_water_waste
FL1063,TAIL1003,AL4,partial_seat;reset_lighting;partial_galley;reset_panel;reset_water_waste
FL1071,TAIL1004,AL3,reset_seat;reset_lighting;partial_galley;partial_panel
FL1072,TAIL1004,AL3,reset_seat;reset_lighting;reset_panel;reset_water_waste
FL1075,TAIL1004,AL3,partial_galley;reset_panel;reset_water_waste
FL1076,TAIL1004,AL3,reset_seat;reset_lighting;reset_galley;reset_panel;partial_water_waste
FL1080,TAIL1004,AL3,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1083,TAIL1004,AL3,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1085,TAIL1005,AL1,reset_seat;partial_lighting;reset_galley;reset_water_waste
FL1086,TAIL1005,AL1,partial_seat;reset_lighting;reset_galley;reset_panel
FL1097,TAIL1005,AL1,reset_seat;reset_lighting;reset_panel;reset_water_waste
FL1103,TAIL1005,AL1,reset_lighting;reset_galley;reset_panel;reset_water_waste
FL1104,TAIL1006,AL1,partial_seat;reset_galley;reset_water_waste
FL1105,TAIL1006,AL1,latent_resolved_seat;reset_lighting;reset_galley;reset_water_waste
FL1106,TAIL1006,AL1,reset_seat;reset_lighting;reset_galley
FL1107,TAIL1006,AL1,partial_seat;reset_lighting
FL1108,TAIL1006,AL1,partial_lighting;reset_galley;reset_panel;reset_water_waste
FL1117,TAIL1006,AL1,partial_seat;partial_lighting;reset_panel;reset_water_waste
