flight_id,tail_id,client_id,maintenance_needed,hazard_score,pred_time_to_failure_hours
FL1000,TAIL1000,AL1,1,1.8,36.6
FL1001,TAIL1000,AL1,1,1.049,55.9
FL1002,TAIL1000,AL1,1,1.184,44.8
FL1003,TAIL1000,AL1,0,0.804,56.9
FL1004,TAIL1000,AL1,0,0.863,47.4
FL1005,TAIL1000,AL1,0,0.342,98.5
FL1006,TAIL1000,AL1,0,0.443,78.6
FL1007,TAIL1000,AL1,0,0.657,59.8
FL1008,TAIL1000,AL1,0,0.744,53.2
FL1009,TAIL1000,AL1,0,0.835,71.0
FL1010,TAIL1000,AL1,1,0.876,68.5
FL1011,TAIL1000,AL1,0,0.604,69.7
FL1012,TAIL1000,AL1,0,0.614,75.2
FL1013,TAIL1000,AL1,0,0.721,87.2
FL1014,TAIL1000,AL1,0,0.727,79.9
FL1015,TAIL1000,AL1,1,0.892,72.4
FL1016,TAIL1000,AL1,0,0.622,61.0
FL1017,TAIL1000,AL1,0,0.69,74.7
FL1018,TAIL1000,AL1,0,0.85,55.7
FL1019,TAIL1001,AL3,1,1.8,33.0
FL1020,TAIL1001,AL3,1,1.8,45.5
FL1021,TAIL1001,AL3,1,1.176,38.2
FL1022,TAIL1001,AL3,1,1.158,42.3
FL1023,TAIL1001,AL3,0,0.439,113.9
FL1024,TAIL1001,AL3,0,0.502,79.5
FL1025,TAIL1001,AL3,0,0.674,64.2
FL1026,TAIL1001,AL3,0,0.646,72.1
FL1027,TAIL1001,AL3,1,0.899,49.1
FL1028,TAIL1001,AL3,0,0.675,64.6
FL1029,TAIL1001,AL3,0,0.743,77.2
FL1030,TAIL1001,AL3,1,0.906,67.6
FL1031,TAIL1001,AL3,0,0.606,79.3
FL1032,TAIL1001,AL3,0,0.648,51.3
FL1033,TAIL1001,AL3,0,0.763,53.2
FL1034,TAIL1001,AL3,1,0.932,53.8
FL1035,TAIL1002,AL1,1,1.8,55.5
FL1036,TAIL1002,AL1,1,1.533,35.8
FL1037,TAIL1002,AL1,1,1.584,27.1
FL1038,TAIL1002,AL1,0,0.389,88.5
FL1039,TAIL1002,AL1,0,0.369,72.4
FL1040,TAIL1002,AL1,0,0.532,87.4
FL1041,TAIL1002,AL1,0,0.642,54.5
FL1042,TAIL1002,AL1,0,0.664,75.6
FL1043,TAIL1002,AL1,0,0.683,70.0
FL1044,TAIL1002,AL1,0,0.676,61.8
FL1045,TAIL1002,AL1,0,0.753,50.4
FL1046,TAIL1002,AL1,1,0.871,39.2
FL1047,TAIL1002,AL1,0,0.616,90.2
FL1048,TAIL1002,AL1,0,0.723,74.0
FL1049,TAIL1002,AL1,0,0.698,63.1
FL1050,TAIL1002,AL1,0,0.853,64.6
FL1051,TAIL1002,AL1,0,0.494,61.7
FL1052,TAIL1002,AL1,0,0.469,105.5
FL1053,TAIL1002,AL1,0,0.634,31.7
FL1054,TAIL1002,AL1,0,0.705,51.8
FL1055,TAIL1003,AL4,1,1.8,24.4
FL1056,TAIL1003,AL4,1,1.212,36.7
FL1057,TAIL1003,AL4,1,1.147,50.5
FL1058,TAIL1003,AL4,1,0.873,61.8
FL1059,TAIL1003,AL4,1,0.869,54.1
FL1060,TAIL1003,AL4,0,0.53,74.3
FL1061,TAIL1003,AL4,0,0.696,63.9
FL1062,TAIL1003,AL4,0,0.671,76.6
FL1063,TAIL1003,AL4,1,1.002,54.9
FL1064,TAIL1003,AL4,0,0.513,85.0
FL1065,TAIL1003,AL4,0,0.598,56.6
FL1066,TAIL1003,AL4,0,0.769,66.0
FL1067,TAIL1003,AL4,0,0.837,66.4
FL1068,TAIL1003,AL4,0,0.683,54.4
FL1069,TAIL1003,AL4,0,0.731,62.8
FL1070,TAIL1003,AL4,0,0.809,59.3
FL1071,TAIL1004,AL3,1,1.8,18.5
FL1072,TAIL1004,AL3,1,1.8,35.9
FL1073,TAIL1004,AL3,0,0.769,53.2
FL1074,TAIL1004,AL3,0,0.752,79.3
FL1075,TAIL1004,AL3,1,0.985,51.6
FL1076,TAIL1004,AL3,1,0.872,43.7
FL1077,TAIL1004,AL3,0,0.537,75.5
FL1078,TAIL1004,AL3,0,0.651,40.1
FL1079,TAIL1004,AL3,0,0.759,60.7
FL1080,TAIL1004,AL3,1,0.971,59.8
FL1081,TAIL1004,AL3,0,0.582,71.2
FL1082,TAIL1004,AL3,0,0.702,70.8
FL1083,TAIL1004,AL3,1,0.953,83.3
FL1084,TAIL1004,AL3,0,0.486,87.2
FL1085,TAIL1005,AL1,1,1.8,43.2
FL1086,TAIL1005,AL1,1,0.958,45.7
FL1087,TAIL1005,AL1,0,0.356,92.6
FL1088,TAIL1005,AL1,0,0.494,84.6
FL1089,TAIL1005,AL1,0,0.483,89.5
FL1090,TAIL1005,AL1,0,0.515,64.5
FL1091,TAIL1005,AL1,0,0.851,50.2
FL1092,TAIL1005,AL1,0,0.576,78.4
FL1093,TAIL1005,AL1,0,0.643,66.6
FL1094,TAIL1005,AL1,0,0.663,67.9
FL1095,TAIL1005,AL1,0,0.756,84.1
FL1096,TAIL1005,AL1,0,0.734,61.1
FL1097,TAIL1005,AL1,1,0.945,55.4
FL1098,TAIL1005,AL1,0,0.506,74.4
FL1099,TAIL1005,AL1,0,0.467,80.4
FL1100,TAIL1005,AL1,0,0.57,83.2
FL1101,TAIL1005,AL1,0,0.601,94.5
FL1102,TAIL1005,AL1,0,0.664,88.3
FL1103,TAIL1005,AL1,1,0.864,85.7
FL1104,TAIL1006,AL1,1,1.8,30.1
FL1105,TAIL1006,AL1,1,1.8,45.3
FL1106,TAIL1006,AL1,1,1.617,47.1
FL1107,TAIL1006,AL1,1,1.008,70.6
FL1108,TAIL1006,AL1,1,1.095,57.7
FL1109,TAIL1006,AL1,0,0.436,99.6
FL1110,TAIL1006,AL1,0,0.458,80.1
FL1111,TAIL1006,AL1,0,0.59,100.9
FL1112,TAIL1006,AL1,0,0.554,68.7
FL1113,TAIL1006,AL1,0,0.615,84.1
FL1114,TAIL1006,AL1,0,0.646,70.4
FL1115,TAIL1006,AL1,0,0.728,75.7
FL1116,TAIL1006,AL1,0,0.644,83.1
FL1117,TAIL1006,AL1,1,1.014,62.2
FL1118,TAIL1006,AL1,0,0.838,63.1
FL1119,TAIL1007,AL4,1,1.8,52.5
FL1120,TAIL1007,AL4,1,1.179,43.4
FL1121,TAIL1007,AL4,0,0.826,59.9
FL1122,TAIL1007,AL4,0,0.409,56.8
FL1123,TAIL1007,AL4,0,0.469,78.4
FL1124,TAIL1007,AL4,0,0.492,82.5
FL1125,TAIL1007,AL4,0,0.675,62.1
FL1126,TAIL1007,AL4,0,0.715,80.7
FL1127,TAIL1007,AL4,0,0.809,56.0
FL1128,TAIL1008,AL3,1,1.8,38.6
FL1129,TAIL1008,AL3,1,1.8,40.6
FL1130,TAIL1008,AL3,0,0.853,68.5
FL1131,TAIL1008,AL3,0,0.544,72.7
FL1132,TAIL1008,AL3,0,0.664,76.3
FL1133,TAIL1008,AL3,0,0.69,72.8
FL1134,TAIL1008,AL3,0,0.826,60.4
FL1135,TAIL1008,AL3,0,0.835,62.1
FL1136,TAIL1008,AL3,0,0.577,82.8
FL1137,TAIL1008,AL3,0,0.79,37.4
FL1138,TAIL1008,AL3,0,0.796,69.8
FL1139,TAIL1008,AL3,0,0.718,84.9
FL1140,TAIL1008,AL3,0,0.747,70.6
FL1141,TAIL1008,AL3,1,0.871,51.6
FL1142,TAIL1008,AL3,0,0.532,82.2
FL1143,TAIL1008,AL3,0,0.722,52.4
FL1144,TAIL1009,AL3,1,1.8,38.7
FL1145,TAIL1009,AL3,0,0.475,94.7
FL1146,TAIL1009,AL3,0,0.563,88.8
FL1147,TAIL1009,AL3,0,0.764,35.9
FL1148,TAIL1009,AL3,0,0.468,86.5
FL1149,TAIL1009,AL3,0,0.777,62.4
FL1150,TAIL1009,AL3,0,0.538,78.9
FL1151,TAIL1009,AL3,0,0.733,37.4
FL1152,TAIL1009,AL3,0,0.77,57.1
FL1153,TAIL1009,AL3,0,0.717,74.0
FL1154,TAIL1009,AL3,0,0.811,56.8
FL1155,TAIL1009,AL3,0,0.694,62.6
FL1156,TAIL1009,AL3,0,0.749,73.8
FL1157,TAIL1009,AL3,1,0.993,47.7
FL1158,TAIL1009,AL3,0,0.574,88.4
FL1159,TAIL1009,AL3,0,0.588,86.4
FL1160,TAIL1010,AL1,1,1.8,33.5
FL1161,TAIL1010,AL1,1,1.8,48.9
FL1162,TAIL1010,AL1,1,0.947,70.1
FL1163,TAIL1010,AL1,0,0.426,79.7
FL1164,TAIL1010,AL1,0,0.561,70.9
FL1165,TAIL1010,AL1,0,0.534,87.6
FL1166,TAIL1010,AL1,0,0.644,70.9
FL1167,TAIL1010,AL1,0,0.748,48.1
FL1168,TAIL1010,AL1,0,0.779,43.7
FL1169,TAIL1010,AL1,0,0.811,56.6
FL1170,TAIL1010,AL1,0,0.371,85.5
FL1171,TAIL1010,AL1,0,0.501,100.2
FL1172,TAIL1010,AL1,0,0.557,81.2
FL1173,TAIL1010,AL1,0,0.618,63.5
FL1174,TAIL1010,AL1,1,0.891,58.9
FL1175,TAIL1010,AL1,0,0.621,75.2
FL1176,TAIL1010,AL1,0,0.757,71.1
FL1177,TAIL1011,AL2,1,1.8,52.5
FL1178,TAIL1011,AL2,1,1.8,30.5
FL1179,TAIL1011,AL2,1,1.8,24.7
FL1180,TAIL1011,AL2,1,0.933,72.5
FL1181,TAIL1011,AL2,0,0.468,75.8
FL1182,TAIL1011,AL2,0,0.642,59.7
FL1183,TAIL1011,AL2,1,0.87,67.8
FL1184,TAIL1011,AL2,0,0.645,72.0
FL1185,TAIL1011,AL2,0,0.57,71.6
FL1186,TAIL1011,AL2,0,0.699,51.3
FL1187,TAIL1011,AL2,0,0.749,79.9
FL1188,TAIL1011,AL2,1,1.102,45.8
FL1189,TAIL1011,AL2,1,0.939,68.5
FL1190,TAIL1011,AL2,0,0.503,78.3
FL1191,TAIL1012,AL2,1,1.8,42.8
FL1192,TAIL1012,AL2,1,1.8,30.8
FL1193,TAIL1012,AL2,1,1.582,43.0
FL1194,TAIL1012,AL2,1,0.908,71.0
FL1195,TAIL1012,AL2,1,1.131,25.2
FL1196,TAIL1012,AL2,0,0.517,80.0
FL1197,TAIL1012,AL2,0,0.565,75.3
FL1198,TAIL1012,AL2,0,0.742,55.2
FL1199,TAIL1012,AL2,0,0.757,68.2
FL1200,TAIL1012,AL2,1,0.959,58.4
FL1201,TAIL1012,AL2,0,0.766,71.9
FL1202,TAIL1012,AL2,1,0.902,59.2
FL1203,TAIL1012,AL2,0,0.598,80.0
FL1204,TAIL1012,AL2,0,0.672,67.2
FL1205,TAIL1012,AL2,0,0.805,70.0
FL1206,TAIL1012,AL2,0,0.629,76.5
FL1207,TAIL1012,AL2,1,0.942,57.9
FL1208,TAIL1012,AL2,0,0.732,66.6
FL1209,TAIL1012,AL2,0,0.797,35.5
FL1210,TAIL1013,AL3,1,1.8,35.4
FL1211,TAIL1013,AL3,1,1.09,40.0
FL1212,TAIL1013,AL3,0,0.674,72.6
FL1213,TAIL1013,AL3,0,0.771,72.9
FL1214,TAIL1013,AL3,0,0.799,60.2
FL1215,TAIL1013,AL3,0,0.682,55.5
FL1216,TAIL1013,AL3,0,0.845,38.2
FL1217,TAIL1013,AL3,0,0.603,60.1
FL1218,TAIL1013,AL3,1,0.911,65.3
FL1219,TAIL1013,AL3,0,0.653,72.5
FL1220,TAIL1013,AL3,0,0.806,90.1
FL1221,TAIL1013,AL3,0,0.688,52.9
FL1222,TAIL1013,AL3,0,0.761,65.8
FL1223,TAIL1013,AL3,1,0.988,53.1
FL1224,TAIL1013,AL3,0,0.777,61.4
FL1225,TAIL1013,AL3,1,0.969,52.7
FL1226,TAIL1013,AL3,0,0.633,73.2
FL1227,TAIL1014,AL3,1,1.8,36.9
FL1228,TAIL1014,AL3,1,1.53,46.1
FL1229,TAIL1014,AL3,0,0.408,86.0
FL1230,TAIL1014,AL3,0,0.435,80.0
FL1231,TAIL1014,AL3,0,0.569,75.0
FL1232,TAIL1014,AL3,0,0.685,61.9
FL1233,TAIL1014,AL3,0,0.768,76.7
FL1234,TAIL1014,AL3,1,0.866,78.5
FL1235,TAIL1014,AL3,0,0.559,73.1
FL1236,TAIL1014,AL3,0,0.842,42.3
FL1237,TAIL1014,AL3,0,0.648,53.4
FL1238,TAIL1014,AL3,0,0.815,90.2
FL1239,TAIL1014,AL3,0,0.606,64.1
FL1240,TAIL1014,AL3,0,0.741,44.2
FL1241,TAIL1014,AL3,1,0.898,43.9
FL1242,TAIL1014,AL3,0,0.59,83.4
FL1243,TAIL1014,AL3,0,0.745,47.1
FL1244,TAIL1014,AL3,0,0.784,68.7
FL1245,TAIL1014,AL3,0,0.421,79.4
FL1246,TAIL1015,AL2,1,1.8,37.7
FL1247,TAIL1015,AL2,1,1.633,67.1
FL1248,TAIL1015,AL2,0,0.562,83.0
