flight_id,tail_id,client_id,split,departure
FL1000,TAIL1000,AL1,train,2025-01-04T00:00:00
FL1001,TAIL1000,AL1,train,2025-01-04T04:54:33.914037
FL1002,TAIL1000,AL1,train,2025-01-04T17:59:18.383736
FL1003,TAIL1000,AL1,train,2025-01-04T22:10:54.894621
FL1004,TAIL1000,AL1,train,2025-01-05T03:49:30.191895
FL1005,TAIL1000,AL1,train,2025-01-05T06:32:12.120735
FL1006,TAIL1000,AL1,train,2025-01-05T11:41:15.818769
FL1007,TAIL1000,AL1,train,2025-01-05T18:11:02.058166
FL1008,TAIL1000,AL1,train,2025-01-06T03:12:15.440022
FL1009,TAIL1000,AL1,train,2025-01-06T08:01:26.812502
FL1010,TAIL1000,AL1,train,2025-01-06T11:25:25.973458
FL1011,TAIL1000,AL1,train,2025-01-06T16:50:16.615283
FL1012,TAIL1000,AL1,train,2025-01-06T21:33:33.430096
FL1013,TAIL1000,AL1,val,2025-01-07T03:51:45.701354
FL1014,TAIL1000,AL1,val,2025-01-07T09:05:46.859881
FL1015,TAIL1000,AL1,test,2025-01-07T16:13:34.694792
FL1016,TAIL1000,AL1,test,2025-01-07T22:19:50.570748
FL1017,TAIL1000,AL1,test,2025-01-08T06:11:24.703377
FL1018,TAIL1000,AL1,test,2025-01-08T15:28:49.163641
FL1019,TAIL1001,AL3,train,2025-01-03T11:00:00
FL1020,TAIL1001,AL3,train,2025-01-04T01:06:18.137466
FL1021,TAIL1001,AL3,train,2025-01-04T08:38:10.837437
FL1022,TAIL1001,AL3,train,2025-01-04T12:55:58.108464
FL1023,TAIL1001,AL3,train,2025-01-04T17:35:34.754659
FL1024,TAIL1001,AL3,train,2025-01-04T20:31:42.611804
FL1025,TAIL1001,AL3,train,2025-01-05T05:27:21.357261
FL1026,TAIL1001,AL3,train,2025-01-05T10:48:53.735200
FL1027,TAIL1001,AL3,train,2025-01-05T21:47:41.238467
FL1028,TAIL1001,AL3,train,2025-01-06T04:25:27.342502
FL1029,TAIL1001,AL3,train,2025-01-06T10:10:31.559264
FL1030,TAIL1001,AL3,val,2025-01-06T19:27:02.063851
FL1031,TAIL1001,AL3,val,2025-01-07T00:05:46.041296
FL1032,TAIL1001,AL3,test,2025-01-07T05:00:21.803268
FL1033,TAIL1001,AL3,test,2025-01-07T09:50:05.541516
FL1034,TAIL1001,AL3,test,2025-01-07T19:58:18.526733
FL1035,TAIL1002,AL1,train,2025-01-02T20:00:00
FL1036,TAIL1002,AL1,train,2025-01-03T01:58:18.553640
FL1037,TAIL1002,AL1,train,2025-01-03T08:11:47.580139
FL1038,TAIL1002,AL1,train,2025-01-03T13:59:13.255262
FL1039,TAIL1002,AL1,train,2025-01-03T20:09:29.449106
FL1040,TAIL1002,AL1,train,2025-01-04T02:12:02.140187
FL1041,TAIL1002,AL1,train,2025-01-04T07:57:04.634839
FL1042,TAIL1002,AL1,train,2025-01-04T13:28:29.639374
FL1043,TAIL1002,AL1,train,2025-01-04T18:25:17.005229
FL1044,TAIL1002,AL1,train,2025-01-04T23:42:50.882432
FL1045,TAIL1002,AL1,train,2025-01-05T04:56:02.593124
FL1046,TAIL1002,AL1,train,2025-01-05T11:58:13.165056
FL1047,TAIL1002,AL1,train,2025-01-05T15:20:49.518017
FL1048,TAIL1002,AL1,train,2025-01-05T19:19:15.975196
FL1049,TAIL1002,AL1,val,2025-01-06T01:11:02.621026
FL1050,TAIL1002,AL1,val,2025-01-06T08:48:05.666795
FL1051,TAIL1002,AL1,val,2025-01-06T15:05:24.345642
FL1052,TAIL1002,AL1,test,2025-01-06T21:06:25.924873
FL1053,TAIL1002,AL1,test,2025-01-07T04:24:31.829614
FL1054,TAIL1002,AL1,test,2025-01-07T09:08:54.795495
FL1055,TAIL1003,AL4,train,2025-01-03T11:00:00
FL1056,TAIL1003,AL4,train,2025-01-03T14:57:35.062767
FL1057,TAIL1003,AL4,train,2025-01-03T19:51:02.716764
FL1058,TAIL1003,AL4,train,2025-01-04T01:19:09.792937
FL1059,TAIL1003,AL4,train,2025-01-04T07:15:39.678434
FL1060,TAIL1003,AL4,train,2025-01-04T15:53:38.816112
FL1061,TAIL1003,AL4,train,2025-01-04T21:46:20.852318
FL1062,TAIL1003,AL4,train,2025-01-05T03:06:28.188576
FL1063,TAIL1003,AL4,train,2025-01-05T16:14:02.137762
FL1064,TAIL1003,AL4,train,2025-01-05T20:56:50.798271
FL1065,TAIL1003,AL4,train,2025-01-06T00:24:11.386198
FL1066,TAIL1003,AL4,val,2025-01-06T06:23:28.868218
FL1067,TAIL1003,AL4,val,2025-01-06T14:55:52.512889
FL1068,TAIL1003,AL4,test,2025-01-06T21:58:48.371225
FL1069,TAIL1003,AL4,test,2025-01-07T03:35:25.066160
FL1070,TAIL1003,AL4,test,2025-01-07T08:43:30.878537
FL1071,TAIL1004,AL3,train,2025-01-01T18:00:00
FL1072,TAIL1004,AL3,train,2025-01-01T21:49:04.188809
FL1073,TAIL1004,AL3,train,2025-01-02T07:24:29.810007
FL1074,TAIL1004,AL3,train,2025-01-02T10:43:52.138317
FL1075,TAIL1004,AL3,train,2025-01-02T19:59:12.061884
FL1076,TAIL1004,AL3,train,2025-01-03T04:54:09.557549
FL1077,TAIL1004,AL3,train,2025-01-03T17:07:07.283532
FL1078,TAIL1004,AL3,train,2025-01-03T21:22:19.971547
FL1079,TAIL1004,AL3,train,2025-01-04T05:14:57.337668
FL1080,TAIL1004,AL3,val,2025-01-04T16:12:48.650391
FL1081,TAIL1004,AL3,val,2025-01-04T22:38:52.766898
FL1082,TAIL1004,AL3,test,2025-01-05T04:38:29.662823
FL1083,TAIL1004,AL3,test,2025-01-05T12:56:52.359518
FL1084,TAIL1004,AL3,test,2025-01-05T19:00:51.658867
FL1085,TAIL1005,AL1,train,2025-01-01T23:00:00
FL1086,TAIL1005,AL1,train,2025-01-02T02:28:42.667152
FL1087,TAIL1005,AL1,train,2025-01-02T05:07:52.037930
FL1088,TAIL1005,AL1,train,2025-01-02T09:15:42.037390
FL1089,TAIL1005,AL1,train,2025-01-02T15:06:13.346858
FL1090,TAIL1005,AL1,train,2025-01-02T17:23:49.737299
FL1091,TAIL1005,AL1,train,2025-01-03T05:14:47.122115
FL1092,TAIL1005,AL1,train,2025-01-03T18:15:23.307226
FL1093,TAIL1005,AL1,train,2025-01-03T21:54:06.422873
FL1094,TAIL1005,AL1,train,2025-01-04T02:18:46.094598
FL1095,TAIL1005,AL1,train,2025-01-04T06:50:44.018325
FL1096,TAIL1005,AL1,train,2025-01-04T11:31:11.604527
FL1097,TAIL1005,AL1,train,2025-01-04T20:41:19.986298
FL1098,TAIL1005,AL1,val,2025-01-05T03:01:04.862757
FL1099,TAIL1005,AL1,val,2025-01-05T06:07:07.101953
FL1100,TAIL1005,AL1,test,2025-01-05T10:33:42.030600
FL1101,TAIL1005,AL1,test,2025-01-05T15:56:07.678798
FL1102,TAIL1005,AL1,test,2025-01-05T21:03:37.001031
FL1103,TAIL1005,AL1,test,2025-01-06T06:37:08.234858
FL1104,TAIL1006,AL1,train,2025-01-01T21:00:00
FL1105,TAIL1006,AL1,train,2025-01-02T05:09:11.734847
