target,corruption_rate,n,accuracy,macro_f1,weighted_f1
component_code,0.0,19296,1.0,1.0,1.0
component_code,0.03,19296,0.9998445273631841,0.9998460713168349,0.9998445266265409
component_code,0.06,19296,0.9995854063018242,0.9995883413195422,0.9995854034221824
component_code,0.1,19296,0.9974606135986733,0.9974632840527068,0.997458210699586
component_code,0.15,19296,0.9912935323383084,0.9913009434675585,0.991299510863809
component_code,0.2,19296,0.9743470149253731,0.9744824333873137,0.9745512088433153
severity,0.0,19296,0.6849087893864013,0.6174161287780462,0.6893585793141693
severity,0.03,19296,0.681540215588723,0.6122778829494948,0.6854922293332607
severity,0.06,19296,0.6748030679933665,0.5942594126207416,0.678440918354558
severity,0.1,19296,0.6652155887230514,0.576503680663498,0.6678870806227826
severity,0.15,19296,0.6589966832504146,0.5612087560858612,0.6603315679193241
severity,0.2,19296,0.6474917081260365,0.5383866691306087,0.647205800925041
location_hint,0.0,19296,0.9956467661691543,0.9959328440969971,0.9956552644493057
location_hint,0.03,19296,0.9845563847429519,0.9773229549898869,0.9843624623646967
location_hint,0.06,19296,0.9728959369817579,0.959148424515377,0.9722842244457071
location_hint,0.1,19296,0.9567267827529021,0.9315352466744561,0.9549714316603153
location_hint,0.15,19296,0.929830016583748,0.8892632643122415,0.9259284808465712
location_hint,0.2,19296,0.9041770315091211,0.8478728994764784,0.8974829748270163
